,date,date_str,effective_at,effective_at_string,installment_number,installment_rolling_30_30_days_ago,installment_rolling_30_miss_rate,installment_rolling_30_n_due_sum,installment_rolling_30_n_missed_sum,installment_rolling_change,mtd,n_due,n_missed,n_paid,which_day,which_month,which_month_name
0,2024-09-15,2024-09-15,2024-09-15,2024-09-15,1,,0.0,71.0,0.0,,current_month,2,0,0,today,current_month,September
1,2024-09-11,2024-09-11,2024-09-11,2024-09-11,1,,0.0,73.0,0.0,,current_month,1,0,0,,current_month,September
2,2024-09-03,2024-09-03,2024-09-03,2024-09-03,1,,0.0,74.0,0.0,,current_month,1,0,0,,current_month,September
3,2024-09-01,2024-09-01,2024-09-01,2024-09-01,1,,0.0,76.0,0.0,,current_month,1,0,0,,current_month,September
4,2024-08-24,2024-08-24,2024-08-24,2024-08-24,1,,0.0,76.0,0.0,,,1,0,0,,last_month,August
5,2024-08-21,2024-08-21,2024-08-21,2024-08-21,1,,0.0,77.0,0.0,,,1,0,0,,last_month,August
6,2024-08-19,2024-08-19,2024-08-19,2024-08-19,1,,0.0,79.0,0.0,,,4,0,0,,last_month,August
7,2024-08-16,2024-08-16,2024-08-16,2024-08-16,1,,0.0,80.0,0.0,,,2,0,0,,last_month,August
8,2024-08-14,2024-08-14,2024-08-14,2024-08-14,1,,0.0,81.0,0.0,,last_month,3,0,0,,last_month,August
9,2024-08-11,2024-08-11,2024-08-11,2024-08-11,1,,0.0,82.0,0.0,,last_month,1,0,0,,last_month,August
10,2024-08-09,2024-08-09,2024-08-09,2024-08-09,1,,0.0,82.0,0.0,,last_month,2,0,0,,last_month,August
11,2024-08-08,2024-08-08,2024-08-08,2024-08-08,1,,0.0,83.0,0.0,,last_month,3,0,0,,last_month,August
12,2024-08-07,2024-08-07,2024-08-07,2024-08-07,1,,0.0,82.0,0.0,,last_month,5,0,0,,last_month,August
13,2024-08-06,2024-08-06,2024-08-06,2024-08-06,1,,0.0,78.0,0.0,,last_month,3,0,0,,last_month,August
14,2024-08-03,2024-08-03,2024-08-03,2024-08-03,1,,0.0,78.0,0.0,,last_month,4,0,0,,last_month,August
15,2024-08-02,2024-08-02,2024-08-02,2024-08-02,1,,0.0,75.0,0.0,,last_month,1,0,0,,last_month,August
16,2024-07-30,2024-07-30,2024-07-30,2024-07-30,1,,,,,,,2,0,0,,last_to_last_month,July
17,2024-07-19,2024-07-19,2024-07-19,2024-07-19,1,,,,,,,4,0,0,,last_to_last_month,July
18,2024-07-16,2024-07-16,2024-07-16,2024-07-16,1,,,,,,,2,0,0,,last_to_last_month,July
19,2024-07-14,2024-07-14,2024-07-14,2024-07-14,1,,,,,,last_to_last_month,3,0,0,,last_to_last_month,July
