,created_datetime_dubai,merchant_name,ttv,mntl
0,2024-04-30,PayLater Test Merchant,7.0,
1,2024-05-31,PayLater Test Merchant,74.0,
2,2024-07-31,Approved Market,159.5,
3,2024-07-31,Store 974,2815.0,
4,2024-08-31,Approved Market,580.25,
5,2024-08-31,Joy Travels,1390.0,
6,2024-08-31,PayLater Test Merchant,221.0,
7,2024-08-31,People's Telecom,40202.0,
8,2024-08-31,Store 974,8376.0,
9,2024-08-31,Tech Station Trading,599.0,
10,2024-08-31,U Events,500.0,
11,2024-08-31,Viva Store,7496.0,
12,2024-09-30,People's Telecom,36145.0,
13,2024-09-30,Store 974,1756.0,
