,Unnamed: 0,installment_id,external_key,order_status,status,effective_at,created_datetime_dubai,n_installments,consumer_id,status_neew,Customer_status,country,merchant_id,merchant_name,current_month,last_month,last_to_last_month,which_month,created,day_number,mtd
0,0,68ce24f3-7584-4ba5-aa69-80e255fdc6f2,59e8c8c2-decd-4d5f-b549-b6590a828848,ACTIVE,DRAFT,2024-04-29 15:48:04.309685+00:00,2024-03-29 15:48:04.309685+00:00,4,98621d66-3173-4ab1-81e2-11bab2f16a30,DRAFT,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-03-29,,
1,1,eedf462a-0b17-4007-8509-df3d88918d7e,59e8c8c2-decd-4d5f-b549-b6590a828848,ACTIVE,DRAFT,2024-05-29 15:48:04.309685+00:00,2024-03-29 15:48:04.309685+00:00,4,98621d66-3173-4ab1-81e2-11bab2f16a30,DRAFT,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-03-29,,
2,2,3d7a7af2-d112-4e28-b026-fd01cabe28cd,59e8c8c2-decd-4d5f-b549-b6590a828848,ACTIVE,DRAFT,2024-06-29 15:48:04.309685+00:00,2024-03-29 15:48:04.309685+00:00,4,98621d66-3173-4ab1-81e2-11bab2f16a30,DRAFT,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-03-29,,
3,3,1f87e5fb-78c8-454f-a8e1-47e3e106e394,59e8c8c2-decd-4d5f-b549-b6590a828848,ACTIVE,AUTHORIZED,2024-03-29 15:48:04.309685+00:00,2024-03-29 15:48:04.309685+00:00,4,98621d66-3173-4ab1-81e2-11bab2f16a30,AUTHORIZED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-03-29,,
4,4,baaed24a-d8f8-4553-b4b5-e1a1cc31df37,4a619503-7f74-4597-aa2b-1aaa3831722f,ACTIVE,DRAFT,2024-05-01 11:35:05.255431+00:00,2024-04-01 11:35:05.255431+00:00,4,98621d66-3173-4ab1-81e2-11bab2f16a30,DRAFT,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-04-01,,
5,5,d51f3b15-d55f-4e86-a0ee-926b527edcaf,4a619503-7f74-4597-aa2b-1aaa3831722f,ACTIVE,DRAFT,2024-06-01 11:35:05.255431+00:00,2024-04-01 11:35:05.255431+00:00,4,98621d66-3173-4ab1-81e2-11bab2f16a30,DRAFT,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-04-01,,
6,6,25c4bd25-f097-4cfe-b658-20092f6e733d,4a619503-7f74-4597-aa2b-1aaa3831722f,ACTIVE,DRAFT,2024-07-01 11:35:05.255431+00:00,2024-04-01 11:35:05.255431+00:00,4,98621d66-3173-4ab1-81e2-11bab2f16a30,DRAFT,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-04-01,,
7,7,ada3ffb3-450b-4e2c-8b43-de14380fd0b8,4a619503-7f74-4597-aa2b-1aaa3831722f,ACTIVE,AUTHORIZED,2024-04-01 11:35:05.255431+00:00,2024-04-01 11:35:05.255431+00:00,4,98621d66-3173-4ab1-81e2-11bab2f16a30,AUTHORIZED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-04-01,,
8,8,77968b0c-a9ae-4c98-81e7-9155c294ee5b,c1a636f6-f594-4ae2-8f27-4e3d614b4f62,REFUNDED,VOIDED,2024-07-01 11:46:41.765369+00:00,2024-04-01 11:46:41.765369+00:00,4,806cb8b7-a842-45fc-a2b3-17ea3ff17946,VOIDED,new,uae,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-04-01,,
9,9,0888b48c-3675-4fc0-9504-8d00bf5cfe00,c1a636f6-f594-4ae2-8f27-4e3d614b4f62,REFUNDED,VOIDED,2024-05-01 11:46:41.765369+00:00,2024-04-01 11:46:41.765369+00:00,4,806cb8b7-a842-45fc-a2b3-17ea3ff17946,VOIDED,new,uae,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-04-01,,
