,date,merchant_name,installment_number,n_due,n_paid,n_missed,miss_rate
0,2024-04-29,PayLater Test Merchant,1,1,0,0,0.0
0,2024-05-01,PayLater Test Merchant,1,3,0,0,0.0
0,2024-05-29,PayLater Test Merchant,1,1,0,0,0.0
0,2024-05-30,PayLater Test Merchant,1,2,0,0,0.0
0,2024-06-01,PayLater Test Merchant,1,3,0,0,0.0
0,2024-06-02,PayLater Test Merchant,1,1,0,0,0.0
0,2024-06-03,PayLater Test Merchant,1,4,0,0,0.0
0,2024-06-06,PayLater Test Merchant,1,3,0,0,0.0
0,2024-06-07,PayLater Test Merchant,1,5,0,0,0.0
0,2024-06-08,PayLater Test Merchant,1,3,0,0,0.0
0,2024-06-09,PayLater Test Merchant,1,2,0,0,0.0
0,2024-06-11,PayLater Test Merchant,1,1,0,0,0.0
0,2024-06-14,PayLater Test Merchant,1,3,0,0,0.0
0,2024-06-16,PayLater Test Merchant,1,2,0,0,0.0
0,2024-06-19,PayLater Test Merchant,1,4,0,0,0.0
0,2024-06-20,PayLater Test Merchant,2,2,0,0,0.0
0,2024-06-29,PayLater Test Merchant,1,1,0,0,0.0
0,2024-06-30,PayLater Test Merchant,1,2,0,0,0.0
0,2024-07-01,PayLater Test Merchant,1,3,0,0,0.0
0,2024-07-02,PayLater Test Merchant,1,1,0,0,0.0
0,2024-07-03,PayLater Test Merchant,1,4,0,0,0.0
0,2024-07-06,PayLater Test Merchant,1,3,0,0,0.0
0,2024-07-07,PayLater Test Merchant,1,5,0,0,0.0
0,2024-07-08,PayLater Test Merchant,1,3,0,0,0.0
0,2024-07-09,PayLater Test Merchant,1,2,0,0,0.0
0,2024-07-11,PayLater Test Merchant,1,1,0,0,0.0
0,2024-07-14,PayLater Test Merchant,1,3,0,0,0.0
0,2024-07-16,PayLater Test Merchant,1,2,0,0,0.0
0,2024-07-19,PayLater Test Merchant,1,4,0,0,0.0
0,2024-07-20,PayLater Test Merchant,3,2,0,0,0.0
0,2024-07-26,PayLater Test Merchant,2,1,0,0,0.0
0,2024-07-30,PayLater Test Merchant,1,2,0,0,0.0
0,2024-08-02,PayLater Test Merchant,1,1,0,0,0.0
0,2024-08-03,PayLater Test Merchant,1,4,0,0,0.0
0,2024-08-06,PayLater Test Merchant,1,3,0,0,0.0
0,2024-08-07,PayLater Test Merchant,1,5,0,0,0.0
0,2024-08-08,PayLater Test Merchant,1,3,0,0,0.0
0,2024-08-09,PayLater Test Merchant,1,2,0,0,0.0
0,2024-08-11,PayLater Test Merchant,1,1,0,0,0.0
0,2024-08-14,PayLater Test Merchant,1,3,0,0,0.0
0,2024-08-16,PayLater Test Merchant,1,2,0,0,0.0
0,2024-08-18,Approved Market,2,1,0,0,0.0
0,2024-08-19,PayLater Test Merchant,1,4,0,0,0.0
0,2024-08-20,PayLater Test Merchant,4,2,0,0,0.0
0,2024-08-21,Store 974,1,1,0,0,0.0
0,2024-08-24,Store 974,1,1,0,0,0.0
0,2024-08-26,PayLater Test Merchant,3,1,0,0,0.0
0,2024-09-01,PayLater Test Merchant,1,0,0,0,0.0
0,2024-09-01,PayLater Test Merchant,2,1,0,0,0.0
0,2024-09-01,Store 974,1,1,0,0,0.0
0,2024-09-03,Store 974,1,1,0,0,0.0
0,2024-09-06,PayLater Test Merchant,2,1,0,0,0.0
0,2024-09-11,Store 974,1,1,0,0,0.0
0,2024-09-15,U Events,1,1,0,0,0.0
0,2024-09-15,Store 974,1,1,0,0,0.0
